n,protocol,loss,calibrated,context_feature,target_feature,repeat,fold,delta
800,DT + log-loss,logloss,False,X2,X1,2,0,0.6677017544281072
800,DT + log-loss,logloss,False,X2,X1,2,1,0.6813273173048603
800,DT + log-loss,logloss,False,X2,X1,2,2,0.7233462451786408
800,DT + log-loss,logloss,False,X2,X1,2,3,0.6809775440311886
800,DT + log-loss,logloss,False,X2,X1,2,4,0.6957997616680912
800,DT + log-loss,logloss,False,X2,X1,3,0,0.7003541753473408
800,DT + log-loss,logloss,False,X2,X1,3,1,0.6896316945141342
800,DT + log-loss,logloss,False,X2,X1,3,2,0.7516897394758495
800,DT + log-loss,logloss,False,X2,X1,3,3,0.7129993430977103
800,DT + log-loss,logloss,False,X2,X1,3,4,0.6231479848880874
800,DT + log-loss,logloss,False,X2,X1,4,0,0.7473016673099758
800,DT + log-loss,logloss,False,X2,X1,4,1,0.6301104722299912
800,DT + log-loss,logloss,False,X2,X1,4,2,0.7294558828311555
800,DT + log-loss,logloss,False,X2,X1,4,3,0.6503770908041842
800,DT + log-loss,logloss,False,X2,X1,4,4,0.7142640027879501
800,DT + log-loss,logloss,False,X2,X1,5,0,0.6751600088284304
800,DT + log-loss,logloss,False,X2,X1,5,1,0.7573731147978384
800,DT + log-loss,logloss,False,X2,X1,5,2,0.7148696686673927
800,DT + log-loss,logloss,False,X2,X1,5,3,0.6792024160038019
800,DT + log-loss,logloss,False,X2,X1,5,4,0.6899787281843689
800,DT + log-loss,logloss,False,X2,X1,6,0,0.6724194544263478
