order,target_feature,ground_truth,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit,n,protocol,loss,calibrated,context_feature
2.0,X1,,"('X4',)",exp7_xor3_records.csv,0.0006087306137836444,0.018669506815266176,0.003768490767132332,-0.005478202781981512,0.007447896529882837,5,5,0,25,repeat_mean,,,,,
2.0,X1,,"('X5',)",exp7_xor3_records.csv,-0.0052668045385049446,0.019030988491384904,0.004325873097653521,-0.012368102310520452,0.0021884107886860796,5,5,0,25,repeat_mean,,,,,
2.0,X1,,"('X6',)",exp7_xor3_records.csv,0.004196689363873097,0.020507287952794797,0.004172094292004739,-0.0030599671969137724,0.011066991017445833,5,5,0,25,repeat_mean,,,,,
2.0,X1,,"('X7',)",exp7_xor3_records.csv,0.004839765945993365,0.01728220202107428,0.0024213562929565045,0.00096349777720698,0.009264159775483869,5,5,0,25,repeat_mean,,,,,
2.0,X1,,"('X8',)",exp7_xor3_records.csv,0.0068278814731148,0.01628285696360258,0.002780825894746524,0.0020864186939252845,0.011388538079425834,5,5,0,25,repeat_mean,,,,,
2.0,X1,,"('X9',)",exp7_xor3_records.csv,-0.0008503458123849282,0.01698104701216565,0.0029688462842213737,-0.005573168507355392,0.004691695336837564,5,5,0,25,repeat_mean,,,,,
2.0,X10,,"('X1',)",exp7_xor3_records.csv,0.00021997932552452395,0.01612011317927479,0.00244434365379831,-0.004382047686793499,0.004118441294462179,5,5,0,25,repeat_mean,,,,,
2.0,X10,,"('X2',)",exp7_xor3_records.csv,0.004557651145711116,0.014348889091160886,0.00345021176343237,-0.0010033753964026244,0.010710297425778078,5,5,0,25,repeat_mean,,,,,
2.0,X10,,"('X3',)",exp7_xor3_records.csv,-0.002440496452510164,0.015346945678985377,0.002184719229560313,-0.006578283152626764,0.000723928081666296,5,5,0,25,repeat_mean,,,,,
2.0,X10,,"('X4',)",exp7_xor3_records.csv,0.0027744135008948047,0.015284807743065544,0.0036454136385709753,-0.0031844615411165365,0.008668398880532412,5,5,0,25,repeat_mean,,,,,
2.0,X10,,"('X5',)",exp7_xor3_records.csv,0.002416149863946476,0.020147083622994465,0.004418449494301441,-0.00529402912104576,0.009880022503328681,5,5,0,25,repeat_mean,,,,,
2.0,X10,,"('X6',)",exp7_xor3_records.csv,0.004173686169723232,0.018650670990023276,0.003309176402737079,-0.000769319107447032,0.010673291201375949,5,5,0,25,repeat_mean,,,,,
2.0,X10,,"('X7',)",exp7_xor3_records.csv,0.004606515407925852,0.016162974020331997,0.002981274713740396,-0.0010865841412881958,0.008880952963329032,5,5,0,25,repeat_mean,,,,,
