order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta
1,(),14,0,X15,(),0,1,0.0022406246750370507
1,(),14,0,X15,(),0,2,0.002583396633601076
1,(),14,0,X15,(),0,3,0.021462525931396637
1,(),14,0,X15,(),0,4,-0.004392611767390031
1,(),14,0,X15,(),1,0,0.018977571180613717
1,(),14,0,X15,(),1,1,0.04712787619973158
1,(),14,0,X15,(),1,2,-0.011135588461726131
1,(),14,0,X15,(),1,3,0.00027868567344613293
1,(),14,0,X15,(),1,4,0.004986643936088608
1,(),14,0,X15,(),2,0,0.013175933898554981
1,(),14,0,X15,(),2,1,0.007325974113282618
1,(),14,0,X15,(),2,2,-0.0009789380349900512
1,(),14,0,X15,(),2,3,0.011032846172565725
1,(),14,0,X15,(),2,4,0.016661398254538606
1,(),14,0,X15,(),3,0,0.028694263460605218
1,(),14,0,X15,(),3,1,-0.0038021115162807373
1,(),14,0,X15,(),3,2,0.011824876603184986
1,(),14,0,X15,(),3,3,0.012424777277682653
1,(),14,0,X15,(),3,4,0.017933528067077376
1,(),14,0,X15,(),4,0,0.025986104612107486
1,(),14,0,X15,(),4,1,0.007999018737462227
1,(),14,0,X15,(),4,2,0.01329121106961173
1,(),14,0,X15,(),4,3,-0.0024228891447144463
1,(),14,0,X15,(),4,4,0.016278845106389772
2,"(1,)",0,1,X1,"('X2',)",0,0,0.056808539190202956
2,"(1,)",0,1,X1,"('X2',)",0,1,0.03258427479041148
2,"(1,)",0,1,X1,"('X2',)",0,2,0.029250133729004757
2,"(1,)",0,1,X1,"('X2',)",0,3,0.04054145929955527
2,"(1,)",0,1,X1,"('X2',)",0,4,0.028107886529483983
