order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta,seed
1,(),2,0,X3,(),2,1,0.07007411625951115,43
1,(),2,0,X3,(),2,2,0.0619512890673477,43
1,(),2,0,X3,(),2,3,0.06899691351139597,43
1,(),2,0,X3,(),2,4,0.06160782618396482,43
1,(),2,0,X3,(),3,0,0.06851443885335684,43
1,(),2,0,X3,(),3,1,0.049961999866145745,43
1,(),2,0,X3,(),3,2,0.0595806453921815,43
1,(),2,0,X3,(),3,3,0.06250748643789916,43
1,(),2,0,X3,(),3,4,0.06228864736969053,43
1,(),2,0,X3,(),4,0,0.05673955667893532,43
1,(),2,0,X3,(),4,1,0.05106861009028091,43
1,(),2,0,X3,(),4,2,0.07635818355348334,43
1,(),2,0,X3,(),4,3,0.053611665871241165,43
1,(),2,0,X3,(),4,4,0.06400744374612533,43
1,(),3,0,X4,(),0,0,0.05304928743236853,43
1,(),3,0,X4,(),0,1,0.07439828473390453,43
1,(),3,0,X4,(),0,2,0.048117028856455024,43
1,(),3,0,X4,(),0,3,0.06122981050114801,43
1,(),3,0,X4,(),0,4,0.07143787777885735,43
1,(),3,0,X4,(),1,0,0.055414531915568666,43
1,(),3,0,X4,(),1,1,0.052402032289807166,43
1,(),3,0,X4,(),1,2,0.06238229849721372,43
1,(),3,0,X4,(),1,3,0.05320801651119006,43
1,(),3,0,X4,(),1,4,0.062492565245676035,43
1,(),3,0,X4,(),2,0,0.04926013113295036,43
1,(),3,0,X4,(),2,1,0.06873244897826558,43
1,(),3,0,X4,(),2,2,0.0616552864243593,43
1,(),3,0,X4,(),2,3,0.06847723943752909,43
1,(),3,0,X4,(),2,4,0.06029631363887733,43
1,(),3,0,X4,(),3,0,0.06643451174235715,43
1,(),3,0,X4,(),3,1,0.048967130649313295,43
1,(),3,0,X4,(),3,2,0.05872410518769128,43
1,(),3,0,X4,(),3,3,0.061280477275851064,43
1,(),3,0,X4,(),3,4,0.06217507717246551,43
1,(),3,0,X4,(),4,0,0.05563261718846202,43
1,(),3,0,X4,(),4,1,0.04954608973268515,43
1,(),3,0,X4,(),4,2,0.07593327586327497,43
1,(),3,0,X4,(),4,3,0.05318123723303403,43
1,(),3,0,X4,(),4,4,0.06301420568630961,43
1,(),4,0,X5,(),0,0,-0.0002541761727523628,43
1,(),4,0,X5,(),0,1,0.00025213768130161185,43
1,(),4,0,X5,(),0,2,0.0006818373607931916,43
1,(),4,0,X5,(),0,3,-0.0004709612200320956,43
1,(),4,0,X5,(),0,4,0.00032750304595063895,43
1,(),4,0,X5,(),1,0,0.0005188461837146163,43
1,(),4,0,X5,(),1,1,0.00015190133467740674,43
1,(),4,0,X5,(),1,2,0.00037636883005609523,43
1,(),4,0,X5,(),1,3,2.9451048400408464e-05,43
1,(),4,0,X5,(),1,4,-0.001451138934754126,43
1,(),4,0,X5,(),2,0,-0.00020336413048116508,43
1,(),4,0,X5,(),2,1,0.0005035780644328525,43
1,(),4,0,X5,(),2,2,0.0005354914069458094,43
1,(),4,0,X5,(),2,3,-0.0003923015349388548,43
1,(),4,0,X5,(),2,4,0.00027141188702634045,43
