experiment,claim,seed_ix,seed,n,order,estimator,loss,target_feature,context_features,repeat,fold,delta,protocol,calibrated,context_feature
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",2,0,0.01041186979350639,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",2,1,0.010934358915929643,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",2,2,0.018756998177405837,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",2,3,0.023145343730525902,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",2,4,0.005342594778683263,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",3,0,-0.038795583426518454,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",3,1,-0.02982683576003331,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",3,2,0.007015010062261795,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",3,3,0.02570237517699736,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",3,4,0.014916960230861753,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",4,0,0.005148930249136208,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",4,1,0.02005661625386257,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",4,2,0.012065655669536768,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",4,3,-0.0034182289396345045,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",4,4,-0.014450590493140347,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",0,0,0.0,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",0,1,0.047110779540486925,,,
