order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta
2,"(6,)",0,1,X1,"('X7',)",4,3,0.020610320654634418
2,"(6,)",0,1,X1,"('X7',)",4,4,0.02982025334145222
2,"(7,)",0,1,X1,"('X8',)",0,0,0.019425050184924464
2,"(7,)",0,1,X1,"('X8',)",0,1,-0.0060960322528093025
2,"(7,)",0,1,X1,"('X8',)",0,2,0.014660327550998109
2,"(7,)",0,1,X1,"('X8',)",0,3,0.01709231881607265
2,"(7,)",0,1,X1,"('X8',)",0,4,0.0017236038661088138
2,"(7,)",0,1,X1,"('X8',)",1,0,0.0008576318274625683
2,"(7,)",0,1,X1,"('X8',)",1,1,0.010431111598907528
2,"(7,)",0,1,X1,"('X8',)",1,2,0.02570237517699736
2,"(7,)",0,1,X1,"('X8',)",1,3,0.019835444016165993
2,"(7,)",0,1,X1,"('X8',)",1,4,-0.015647206792097634
2,"(7,)",0,1,X1,"('X8',)",2,0,0.03310205979363434
2,"(7,)",0,1,X1,"('X8',)",2,1,0.014916960230861753
2,"(7,)",0,1,X1,"('X8',)",2,2,0.00787704493363528
2,"(7,)",0,1,X1,"('X8',)",2,3,-0.01134970167457039
2,"(7,)",0,1,X1,"('X8',)",2,4,0.030225142415214457
2,"(7,)",0,1,X1,"('X8',)",3,0,0.0034493116314194827
2,"(7,)",0,1,X1,"('X8',)",3,1,-0.01667213542872814
2,"(7,)",0,1,X1,"('X8',)",3,2,0.027959857082337725
2,"(7,)",0,1,X1,"('X8',)",3,3,0.0
2,"(7,)",0,1,X1,"('X8',)",3,4,-0.020389792872689827
2,"(7,)",0,1,X1,"('X8',)",4,0,0.012087747048869502
2,"(7,)",0,1,X1,"('X8',)",4,1,0.025579611224305743
2,"(7,)",0,1,X1,"('X8',)",4,2,-0.02153442363414182
2,"(7,)",0,1,X1,"('X8',)",4,3,0.0017515270781914838
2,"(7,)",0,1,X1,"('X8',)",4,4,-0.004290794993199509
2,"(8,)",0,1,X1,"('X9',)",0,0,0.009491581994927833
2,"(8,)",0,1,X1,"('X9',)",0,1,0.036251666324565
2,"(8,)",0,1,X1,"('X9',)",0,2,0.0008633784041024439
2,"(8,)",0,1,X1,"('X9',)",0,3,0.01389126222229553
2,"(8,)",0,1,X1,"('X9',)",0,4,-0.018756998177405837
2,"(8,)",0,1,X1,"('X9',)",1,0,0.009609652020470594
2,"(8,)",0,1,X1,"('X9',)",1,1,0.013977830135178837
2,"(8,)",0,1,X1,"('X9',)",1,2,-0.005992698443216038
2,"(8,)",0,1,X1,"('X9',)",1,3,-0.011210589170456253
2,"(8,)",0,1,X1,"('X9',)",1,4,-0.03491009459359262
2,"(8,)",0,1,X1,"('X9',)",2,0,-0.028299071144095356
2,"(8,)",0,1,X1,"('X9',)",2,1,0.011196957565946963
2,"(8,)",0,1,X1,"('X9',)",2,2,0.007006191246653581
2,"(8,)",0,1,X1,"('X9',)",2,3,-0.030994571796993053
2,"(8,)",0,1,X1,"('X9',)",2,4,0.012888412193895249
2,"(8,)",0,1,X1,"('X9',)",3,0,0.004314278262259386
2,"(8,)",0,1,X1,"('X9',)",3,1,-0.014012913362567825
2,"(8,)",0,1,X1,"('X9',)",3,2,-0.0077235096609168385
2,"(8,)",0,1,X1,"('X9',)",3,3,-0.0068611835168590485
2,"(8,)",0,1,X1,"('X9',)",3,4,-0.002583836980915577
2,"(8,)",0,1,X1,"('X9',)",4,0,-0.0008535233849421564
2,"(8,)",0,1,X1,"('X9',)",4,1,0.02166651879765169
2,"(8,)",0,1,X1,"('X9',)",4,2,0.010316817123081301
2,"(8,)",0,1,X1,"('X9',)",4,3,-0.01663023362150029
2,"(8,)",0,1,X1,"('X9',)",4,4,0.0060960322528093025
2,"(9,)",0,1,X1,"('X10',)",0,0,-0.011190128069998306
2,"(9,)",0,1,X1,"('X10',)",0,1,-0.017300576957296365
2,"(9,)",0,1,X1,"('X10',)",0,2,-0.003358499243444224
2,"(9,)",0,1,X1,"('X10',)",0,3,0.018289480045855733
