order,context_indices,target_idx,context_size,target_feature,ground_truth,context_features,repeat,fold,delta
2,"(0,)",1,1,a2,informative,"('a1',)",1,1,0.14380179591811032
2,"(0,)",1,1,a2,informative,"('a1',)",1,2,0.12095528482937645
2,"(0,)",1,1,a2,informative,"('a1',)",1,3,0.15679665108471036
2,"(0,)",1,1,a2,informative,"('a1',)",1,4,0.1625479030352981
2,"(0,)",1,1,a2,informative,"('a1',)",2,0,0.18080177942963066
2,"(0,)",1,1,a2,informative,"('a1',)",2,1,0.17048577697113437
2,"(0,)",1,1,a2,informative,"('a1',)",2,2,0.16290426092904509
2,"(0,)",1,1,a2,informative,"('a1',)",2,3,0.1267478118836064
2,"(0,)",1,1,a2,informative,"('a1',)",2,4,0.15361026442221298
2,"(0,)",1,1,a2,informative,"('a1',)",3,0,0.13537132139435182
2,"(0,)",1,1,a2,informative,"('a1',)",3,1,0.11745880249624646
2,"(0,)",1,1,a2,informative,"('a1',)",3,2,0.16354113932322112
2,"(0,)",1,1,a2,informative,"('a1',)",3,3,0.20018852224526218
2,"(0,)",1,1,a2,informative,"('a1',)",3,4,0.15626167834293653
2,"(0,)",1,1,a2,informative,"('a1',)",4,0,0.13331854527517967
2,"(0,)",1,1,a2,informative,"('a1',)",4,1,0.10170667595633331
2,"(0,)",1,1,a2,informative,"('a1',)",4,2,0.13487818296883414
2,"(0,)",1,1,a2,informative,"('a1',)",4,3,0.1710008015763239
2,"(0,)",1,1,a2,informative,"('a1',)",4,4,0.1540913594561652
2,"(2,)",1,1,a2,informative,"('a3',)",0,0,-0.008182193037648888
2,"(2,)",1,1,a2,informative,"('a3',)",0,1,0.009701310165616484
2,"(2,)",1,1,a2,informative,"('a3',)",0,2,-0.01584030680857279
2,"(2,)",1,1,a2,informative,"('a3',)",0,3,0.0006282892200361045
2,"(2,)",1,1,a2,informative,"('a3',)",0,4,-0.0006670299572815175
2,"(2,)",1,1,a2,informative,"('a3',)",1,0,-0.005362615493531342
2,"(2,)",1,1,a2,informative,"('a3',)",1,1,-0.003992331311852171
2,"(2,)",1,1,a2,informative,"('a3',)",1,2,0.003570549042360982
2,"(2,)",1,1,a2,informative,"('a3',)",1,3,0.009247459179983819
2,"(2,)",1,1,a2,informative,"('a3',)",1,4,-0.0010355869185934008
2,"(2,)",1,1,a2,informative,"('a3',)",2,0,-0.007112114455382179
2,"(2,)",1,1,a2,informative,"('a3',)",2,1,0.001680656088715371
2,"(2,)",1,1,a2,informative,"('a3',)",2,2,-0.002546233030900069
2,"(2,)",1,1,a2,informative,"('a3',)",2,3,-0.0007301625983529014
2,"(2,)",1,1,a2,informative,"('a3',)",2,4,0.003870160836310088
2,"(2,)",1,1,a2,informative,"('a3',)",3,0,0.0005353734781082808
2,"(2,)",1,1,a2,informative,"('a3',)",3,1,-0.006661704403094881
2,"(2,)",1,1,a2,informative,"('a3',)",3,2,-0.004710656525536261
2,"(2,)",1,1,a2,informative,"('a3',)",3,3,0.00627019394692796
2,"(2,)",1,1,a2,informative,"('a3',)",3,4,-0.0036759825018495285
2,"(2,)",1,1,a2,informative,"('a3',)",4,0,-0.0063316873209942615
2,"(2,)",1,1,a2,informative,"('a3',)",4,1,0.00024336037582550762
2,"(2,)",1,1,a2,informative,"('a3',)",4,2,-0.009145637003438956
2,"(2,)",1,1,a2,informative,"('a3',)",4,3,0.012258230567191553
2,"(2,)",1,1,a2,informative,"('a3',)",4,4,0.009175878349050315
2,"(3,)",1,1,a2,informative,"('a4',)",0,0,-0.01502439046499049
2,"(3,)",1,1,a2,informative,"('a4',)",0,1,0.004734317070252403
2,"(3,)",1,1,a2,informative,"('a4',)",0,2,-0.007187231550050299
2,"(3,)",1,1,a2,informative,"('a4',)",0,3,-0.0075477213553555855
2,"(3,)",1,1,a2,informative,"('a4',)",0,4,-0.0013354950079722538
2,"(3,)",1,1,a2,informative,"('a4',)",1,0,-0.018637664424605016
2,"(3,)",1,1,a2,informative,"('a4',)",1,1,-0.0001084947313281237
2,"(3,)",1,1,a2,informative,"('a4',)",1,2,0.0018682636610153347
2,"(3,)",1,1,a2,informative,"('a4',)",1,3,0.0036386588346168924
2,"(3,)",1,1,a2,informative,"('a4',)",1,4,-0.001082311232844635
2,"(3,)",1,1,a2,informative,"('a4',)",2,0,0.00520463316498232
2,"(3,)",1,1,a2,informative,"('a4',)",2,1,-0.02120703941305957
2,"(3,)",1,1,a2,informative,"('a4',)",2,2,-0.005929594812573935
2,"(3,)",1,1,a2,informative,"('a4',)",2,3,-0.0011921673847460346
2,"(3,)",1,1,a2,informative,"('a4',)",2,4,0.001154185178386724
2,"(3,)",1,1,a2,informative,"('a4',)",3,0,0.0026626814634729268
2,"(3,)",1,1,a2,informative,"('a4',)",3,1,-0.005168513779599149
2,"(3,)",1,1,a2,informative,"('a4',)",3,2,-0.0020765350053136844
2,"(3,)",1,1,a2,informative,"('a4',)",3,3,0.00533267480296995
2,"(3,)",1,1,a2,informative,"('a4',)",3,4,0.00613997287298218
2,"(3,)",1,1,a2,informative,"('a4',)",4,0,-0.018984470676245646
2,"(3,)",1,1,a2,informative,"('a4',)",4,1,0.007086867462908764
2,"(3,)",1,1,a2,informative,"('a4',)",4,2,-0.013674748257382352
2,"(3,)",1,1,a2,informative,"('a4',)",4,3,0.013244754936099667
2,"(3,)",1,1,a2,informative,"('a4',)",4,4,0.005468395285696093
2,"(4,)",1,1,a2,informative,"('a5',)",0,0,-0.007940071828667683
2,"(4,)",1,1,a2,informative,"('a5',)",0,1,0.004050531857656414
2,"(4,)",1,1,a2,informative,"('a5',)",0,2,0.00247143661588356
2,"(4,)",1,1,a2,informative,"('a5',)",0,3,-0.0006406419077056857
2,"(4,)",1,1,a2,informative,"('a5',)",0,4,-0.0016860677149734271
2,"(4,)",1,1,a2,informative,"('a5',)",1,0,0.004543844741669023
2,"(4,)",1,1,a2,informative,"('a5',)",1,1,-0.0020848048992901935
2,"(4,)",1,1,a2,informative,"('a5',)",1,2,-0.01066392168908209
2,"(4,)",1,1,a2,informative,"('a5',)",1,3,0.010387008841474255
2,"(4,)",1,1,a2,informative,"('a5',)",1,4,-0.001519924917901927
2,"(4,)",1,1,a2,informative,"('a5',)",2,0,-0.008955148506817778
2,"(4,)",1,1,a2,informative,"('a5',)",2,1,0.002357686317891572
2,"(4,)",1,1,a2,informative,"('a5',)",2,2,-0.000839925058735258
